ID,Name,Parameter,Source,Location,On water body,2008,2008_confidence,2009,2009_confidence,2010,2010_confidence,2011,2011_confidence,2012,2012_confidence,2013,2013_confidence,2014,2014_confidence,2015,2015_confidence,2016,2016_confidence,2017,2017_confidence,2018,2018_confidence
3000,River Almond (Maitland Bridge to Cramond),1-3-2-3-3-1: Macroinvertebrates (ASPT),Calculated,3944,Y,Poor,Medium,Moderate,High,Moderate,Medium,Moderate,High,Moderate,High,High,Medium,Moderate,High,Moderate,High,Moderate,Medium,Moderate,High,Moderate,High
3001,River Almond (Breich Water confluence to Maitland Bridge),1-3-2-3-3-1: Macroinvertebrates (ASPT),Calculated,462,Y,Moderate,Medium,Moderate,High,Moderate,High,Moderate,High,Moderate,High,Moderate,High,,,Good,High,,,,,,
3002,River Almond (Foulshiels Burn to Breich Water confluences),1-3-2-3-3-1: Macroinvertebrates (ASPT),Calculated,457,Y,Moderate,High,Moderate,High,Moderate,High,Moderate,High,Moderate,High,Moderate,High,Moderate,Medium,,,,,Moderate,High,,
3003,River Almond (Source to Foulshiels Burn confluence),1-3-2-3-3-1: Macroinvertebrates (ASPT),Calculated,456,Y,Moderate,High,Moderate,High,Poor,Medium,Moderate,Medium,Moderate,Medium,Moderate,High,Moderate,High,,,,,Moderate,High,,
3004,Gogar Burn (Union Canal to River Almond),1-3-2-3-3-1: Macroinvertebrates (ASPT),Calculated,5565,Y,Poor,High,Poor,High,Poor,High,Poor,High,Poor,High,Poor,High,,,Moderate,High,,,,,,
3004,Gogar Burn (Union Canal to River Almond),1-3-2-3-3-1: Macroinvertebrates (ASPT),Calculated,474729,Y,,,,,,,,,,,,,,,,,,,,,Moderate,High
3005,Gogar Burn (Source to Union Canal),1-3-2-3-3-1: Macroinvertebrates (ASPT),Calculated,409,Y,Good,High,Good,High,Good,High,Good,High,Good,High,Good,High,,,Good,High,,,,,Good,Medium
3007,Niddry Burn,1-3-2-3-3-1: Macroinvertebrates (ASPT),Calculated,4019,Y,Good,High,Good,High,Good,High,Good,High,Good,High,Good,Medium,,,,,Good,High,,,,
3008,Brox Burn (Ryal Burn Confluence to R Almond),1-3-2-3-3-1: Macroinvertebrates (ASPT),Calculated,449,Y,Poor,High,Poor,High,Moderate,High,Poor,High,,,Moderate,Medium,Moderate,High,,,,,,,,
3009,Brox Burn (by Wester Tartraven to Ryal Burn Confluence),1-3-2-3-3-1: Macroinvertebrates (ASPT),Calculated,2585,Y,Moderate,High,Moderate,High,Moderate,High,Moderate,High,Good,Medium,Moderate,High,,,Good,High,,,,,Good,High
3014,Linhouse water/Camilty Burn/ Green Burn,1-3-2-3-3-1: Macroinvertebrates (ASPT),Calculated,4063,Y,,,,,,,,,,,,,,,,,High,High,,,,
3014,Linhouse water/Camilty Burn/ Green Burn,1-3-2-3-3-1: Macroinvertebrates (ASPT),Calculated,14597,Y,High,High,High,High,High,High,High,High,High,High,High,High,,,,,,,,,,
3015,Murieston Water,1-3-2-3-3-1: Macroinvertebrates (ASPT),Calculated,2258,Y,High,High,High,Medium,Good,Medium,,,Good,High,High,Medium,,,,,High,High,,,,
3016,Bog Burn,1-3-2-3-3-1: Macroinvertebrates (ASPT),Calculated,2255,Y,Good,High,High,High,High,High,High,High,High,High,High,High,High,High,,,,,High,High,,
3018,Killandean Burn/Harwood Water,1-3-2-3-3-1: Macroinvertebrates (ASPT),Calculated,4090,Y,Good,High,Good,High,Good,High,High,Medium,Good,High,High,Medium,High,Medium,High,High,Good,Medium,Good,High,,
3020,Lochshot Burn,1-3-2-3-3-1: Macroinvertebrates (ASPT),Calculated,4103,Y,Good,High,Moderate,Medium,Moderate,High,Moderate,High,Moderate,High,Good,High,,,Moderate,High,,,,,Moderate,High
3021,Breich Water/Darmead Linn,1-3-2-3-3-1: Macroinvertebrates (ASPT),Calculated,3350,Y,Good,High,Moderate,Medium,Moderate,High,Good,High,Good,High,Moderate,High,Good,Medium,,,,,Good,High,,
3022,Darmead Linn,1-3-2-3-3-1: Macroinvertebrates (ASPT),Calculated,502,Y,Good,High,Good,High,,,,,,,High,Medium,Good,High,Good,High,Good,High,Good,High,,
3027,Foulshiels Burn/Bickerton Burn,1-3-2-3-3-1: Macroinvertebrates (ASPT),Calculated,474,Y,Good,High,Good,High,Good,High,Good,High,Good,High,Good,High,Good,High,,,,,Good,High,,
3031,How Burn,1-3-2-3-3-1: Macroinvertebrates (ASPT),Calculated,471,Y,Good,High,Good,High,Good,High,Good,High,Good,High,Moderate,High,Moderate,Medium,,,,,Good,High,,
3100,River Avon (Logie Water confluence to Estuary),1-3-2-3-3-1: Macroinvertebrates (ASPT),Calculated,3798,Y,Good,High,Good,High,Good,High,Good,High,Good,High,,,,,,,,,,,,
3100,River Avon (Logie Water confluence to Estuary),1-3-2-3-3-1: Macroinvertebrates (ASPT),Calculated,3806,Y,,,,,,,,,,,Good,Medium,Good,High,Good,High,Good,High,,,,
3101,River Avon (Jawhills to Logie Water confluence),1-3-2-3-3-1: Macroinvertebrates (ASPT),Calculated,335,Y,Good,High,Good,Medium,Good,High,Good,High,Good,High,High,Medium,,,,,,,,,,
