"loc code","Sampled date","Reported NTAXA","Reported ASPT"
"122676","2021-05-11","16","6.54"
"471","2021-05-19","16","5.54"
"456","2021-05-21","23","5.92"
"122619","2021-05-11","14","6.53"
"122609","2021-05-11","20","6.16"
"122675","2021-05-11","20","6.03"
"398593","2021-06-15","20","6.045"
"134708","2021-05-05","9","5.57"
"122962","2021-05-05","20","5.99"
"134604","2021-05-05","22","5.87"
"122910","2021-04-26","20","6.48"
"9599","2021-04-30","25","5.59"
"9602","2021-04-30","23","5.58"
"9631","2021-04-23","19","5.65"
"9490","2021-05-07","27","6.27"
"122487","2021-06-01","21","6.58"
"122475","2021-05-12","21","6.41"
"207274","2021-06-02","19","6.56"
"232926","2021-05-11","18","7.19"
"207120","2021-05-11","18","7.31"
"205682","2021-05-11","19","7.17"
"206993","2021-04-29","24","6.84"
"207298","2021-05-27","21","7.51"
"206972","2021-04-28","22","5.15"
"207170","2021-04-22","12","4.37"
"207146","2021-04-22","20","7.06"
"207162","2021-04-22","20","6.32"
"460473","2021-04-22","16","6.46"
"3472","2021-05-31","16","7.04"
"3418","2021-05-19","17","6.26"
"1512","2021-05-26","17","7.01"
"1517","2021-05-26","16","7.42"
"1584","2021-05-31","18","6.62"
"207287","2021-05-28","21","7.9"
"206763","2021-05-27","n/a","n/a"
"206908","2021-05-28","22","7.24"
"206811","2021-05-28","n/a","n/a"
"337274","2021-04-29","18","6.96"
"122539","2021-04-23","19","6.33"
"320337","2021-04-29","17","7.28"
"121225","2021-05-14","15","5.93"
"122575","2021-05-14","21","6.55"
"122530","2021-04-30","16","6.39"
"122534","2021-04-30","12","6.58"
"122542","2021-04-23","17","5.83"
"122541","2021-04-23","18","6.07"
"7957","2021-05-18","21","6.18"
"7740","2021-05-18","22","7.87"
"7814","2021-05-18","19","8.3"
"8574","2021-05-18","18","7.96"
"207010","2021-04-22","16","6.65"
"207021","2021-04-22","22","7.6"
"207129","2021-04-22","25","7.352"
"207029","2021-04-22","30","7.27"
"206717","2021-05-26","21","7.11"
"206910","2021-05-26","22","6.74"
"207130","2021-05-05","22","7.65"
"R. Spey u/s Carron Bridge","2921-06-02","21","6.86"
"582932","2021-05-28","20","6.3"
"8895","2021-05-13","19","7.09"
"8500","2021-05-12","15","5.5"
"8832","2021-05-12","14","7.21"
"8062","2021-05-12","15","5.03"
"10476","2021-05-12","22","6.23"
"8888","2021-05-18","26","6.79"
"499943","2021-05-13","19","7.81"
"7935","2021-05-27","19","6.57"
"7809","2021-04-29","24","7.56"
"7753","2021-04-29","26","7.42"
"7797","2021-04-29","25","6.35"
"7672","2021-04-29","20","6.83"
"100690","2021-04-26","17","7.3"
"122053","2021-04-26","13","5.69"
"134757","2021-05-14","20","6.59"
"122753","2021-05-14","18","7.6"
"4613","2021-05-20","9","5.96"
"122701","2021-05-05","15","7.05"
"122748","2021-05-26","15","6.71"
"122714","2021-05-05","18","7"
"207432","2021-05-26","12","6.7"
"207076","2021-06-01","10","7.64"
"666","2021-04-20","26","6.59"
"4429","2021-04-20","20","5.63"
"4148","2021-05-27","21","6.06"
"4257","2021-05-27","19","6.5"
"11113","2021-05-13","12","6.08"
"3570","2021-04-29","18","6.2"
"8243","2021-05-06","14","5.83"
"3250","2021-06-02","19","6.13"
"3402","2021-05-13","9","4.47"
"1426","2021-04-29","15","6.47"
"335","2021-05-14","19","6.83"
"1412","2021-05-13","16","6.43"
"8211","2021-05-06","6","4.6"
"2239","2021-05-14","17","7.29"
"1615","2021-05-14","12","7.52"
"1604","2021-05-14","21","6.04"
"338805","2021-05-13","14","5.79"
"207152","2021-05-13","15","6.53"
"204343","2021-05-13","15","7.08"
