ID,Name,Parameter,Source,Location,On water body,2008,2008_confidence,2009,2009_confidence,2010,2010_confidence,2011,2011_confidence,2012,2012_confidence,2013,2013_confidence,2014,2014_confidence,2015,2015_confidence,2016,2016_confidence,2017,2017_confidence,2018,2018_confidence
3000,River Almond (Maitland Bridge to Cramond),1-3-2-3-3-2: Macroinvertebrates (NTAXA),Calculated,3944,Y,Good,High,Good,High,Good,High,Good,High,Good,High,High,Medium,High,High,High,High,High,High,High,High,High,High
3001,River Almond (Breich Water confluence to Maitland Bridge),1-3-2-3-3-2: Macroinvertebrates (NTAXA),Calculated,462,Y,Good,Medium,Good,High,Good,High,Good,High,Good,High,Good,Medium,,,High,High,,,,,,
3002,River Almond (Foulshiels Burn to Breich Water confluences),1-3-2-3-3-2: Macroinvertebrates (NTAXA),Calculated,457,Y,High,High,High,High,High,Medium,High,High,High,Medium,Good,Medium,High,High,,,,,High,High,,
3003,River Almond (Source to Foulshiels Burn confluence),1-3-2-3-3-2: Macroinvertebrates (NTAXA),Calculated,456,Y,High,High,High,High,High,High,High,Medium,High,Medium,Good,Medium,High,High,,,,,High,High,,
3004,Gogar Burn (Union Canal to River Almond),1-3-2-3-3-2: Macroinvertebrates (NTAXA),Calculated,5565,Y,Good,High,Good,High,Good,High,Good,High,Moderate,Medium,Moderate,High,,,High,High,,,,,,
3004,Gogar Burn (Union Canal to River Almond),1-3-2-3-3-2: Macroinvertebrates (NTAXA),Calculated,474729,Y,,,,,,,,,,,,,,,,,,,,,High,High
3005,Gogar Burn (Source to Union Canal),1-3-2-3-3-2: Macroinvertebrates (NTAXA),Calculated,409,Y,High,High,High,High,High,High,High,High,High,High,High,High,,,High,High,,,,,High,High
3007,Niddry Burn,1-3-2-3-3-2: Macroinvertebrates (NTAXA),Calculated,4019,Y,High,High,High,High,High,High,High,High,High,High,High,Medium,,,,,High,High,,,,
3008,Brox Burn (Ryal Burn Confluence to R Almond),1-3-2-3-3-2: Macroinvertebrates (NTAXA),Calculated,449,Y,Good,High,Good,High,Good,Medium,Good,High,,,Good,Medium,High,High,,,,,,,,
3009,Brox Burn (by Wester Tartraven to Ryal Burn Confluence),1-3-2-3-3-2: Macroinvertebrates (NTAXA),Calculated,2585,Y,High,High,High,High,High,High,High,High,High,High,High,High,,,High,High,,,,,High,High
3014,Linhouse water/Camilty Burn/ Green Burn,1-3-2-3-3-2: Macroinvertebrates (NTAXA),Calculated,4063,Y,,,High,High,High,High,High,High,High,High,,,,,,,High,High,,,,
