location_id,water body previously classified,water body sampled,water body used for typical class,Reported WHPT Class Year,Typical ASPT Class,Typical NTAXA Class,NGR,SX,SY,EX,EY,Altitude,d_f_source,logaltbar,log_area,disch_cat,slope,chalk,clay,hardrock,limestone,peat,shape_Length
122487,TRUE,10749,10749,2016,Good,High,NS 94460 48862,294450,648850,294500,648850,208,12611.44824,2.42830181,1.73770928,3,3.43145752,0,0,0.08282265,0,0.22432086,50
205682,TRUE,23179,23179,2016,Good,High,NJ 49767 50639,349750,850650,349800,850650,92,27456.19727,2.3163178,2.24375081,4,0.94150251,0,0,0.92754757,0.0560793,0.09310418,50
206993,TRUE,20439,20439,2017,Good,High,NG 84014 43785,184050,843800,184000,843750,11,4977.385254,2.5245893,1.09595346,3,52.81222916,0,0,0,0,0,70.71067812
3472,TRUE,4731,4731,2018,High,High,NS 54883 93798,254850,693800,254850,693850,29,7924.436035,2.00800014,1.0949949,2,10.29437256,0,0,0,0,0,50
320337,TRUE,10070,10070,2014,High,High,NS 78191 63655,278200,663600,278200,663650,107,9529.770508,2.33758831,1.22968185,1,11.15223694,0,0,0.17825575,0,0.13450207,50
122575,TRUE,10751,10751,2016,Good,High,NS 73855 72533,273900,672550,273850,672500,69,11281.85449,2.14182425,1.54829729,3,3.55788302,0,0,0.01824998,0,0.08262008,70.71067812
207021,TRUE,23072,23072,2014,High,High,NJ 29327 45174,329300,845150,329300,845200,78,31074.58203,2.51965094,2.12069726,4,15.4047823,0,0,0.91932213,0.08067784,0,50
100690,TRUE,10431,10431,2017,Good,High,NS 56845 20102,256850,620100,256800,620150,110,9036.873047,2.34736109,1.40062428,2,11.0819416,0,0,0.36960843,0,0.0571457,70.71067812
4429,TRUE,4000,4000,2017,Good,High,NT 60749 77978,360750,677950,360750,678000,3,44928.51953,2.23416138,2.49453712,5,3.37155533,0,0,0.26973021,0,0.00473941,50
2239,TRUE,4201,4201,2017,High,High,NS 83146 82024,283100,682050,283150,682000,19,27142.59375,2.39685369,2.06778669,5,8.28427124,0,0,0.80961138,0,0.11119191,70.71067812
99999,TRUE,NA,NA,NA,NA,NA,NJ8495900647,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
99999,TRUE,NA,NA,NA,NA,NA,NJ2922256973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
122676,TRUE,10706,10706,2017,Good,High,NS 47815 71236,247850,671300,247800,671250,6,10388.65332,2.35594916,1.273175,2,13.80711842,0,0,0.76222843,0,0.01639344,70.71067812
471,TRUE,3031,3031,2017,Good,High,NS 93409 65741,293400,665750,293450,665750,160,8207.279297,2.28544712,1.12799513,1,1.77894151,0,0,0.10798734,0,0.26159003,50
456,TRUE,3003,3003,2017,Moderate,High,NS 98549 65315,298500,665350,298550,665300,144,17113.53516,2.31110501,1.62831223,3,5.33682442,0,0,0.03918339,0,0.24174854,70.71067812
122619,TRUE,10007,10007,2016,Good,High,NS 52239 62870,252250,662850,252200,662850,11,18530.87891,2.14037585,1.77057588,4,0.1,0,0,0.72295952,0,0.00750477,50
122609,TRUE,10000,10000,2013,Poor,Good,NS 48628 63773,248650,663750,248600,663800,3,38249.46875,2.15948677,2.38000298,6,1.77894151,0,0,0.62572694,0,0.03333889,70.71067812
